ts0,dt0,hr0,solar,wind,caiso_load,sol_wind,duck
2019-01-01 00:00:00.000000,2019-01-01,0,0,2810,,2810,
2019-01-01 01:00:00.000000,2019-01-01,1,0,2554,,2554,
2019-01-01 02:00:00.000000,2019-01-01,2,0,2391,,2391,
2019-01-01 03:00:00.000000,2019-01-01,3,0,2455,,2455,
2019-01-01 04:00:00.000000,2019-01-01,4,0,2322,,2322,
2019-01-01 05:00:00.000000,2019-01-01,5,0,2221,,2221,
2019-01-01 06:00:00.000000,2019-01-01,6,0,2109,,2109,
2019-01-01 07:00:00.000000,2019-01-01,7,50,2026,,2076,
2019-01-01 08:00:00.000000,2019-01-01,8,2921,1897,,4818,
2019-01-01 09:00:00.000000,2019-01-01,9,6691,2012,,8703,
2019-01-01 10:00:00.000000,2019-01-01,10,8232,1766,,9998,
2019-01-01 11:00:00.000000,2019-01-01,11,8230,2095,,10325,
2019-01-01 12:00:00.000000,2019-01-01,12,8135,1847,,9982,
2019-01-01 13:00:00.000000,2019-01-01,13,8250,1617,,9867,
2019-01-01 14:00:00.000000,2019-01-01,14,8187,1202,,9389,
2019-01-01 15:00:00.000000,2019-01-01,15,6785,942,,7727,
2019-01-01 16:00:00.000000,2019-01-01,16,2603,582,,3185,
2019-01-01 17:00:00.000000,2019-01-01,17,17,499,,516,
2019-01-01 18:00:00.000000,2019-01-01,18,2,441,,443,
2019-01-01 19:00:00.000000,2019-01-01,19,2,381,,383,
2019-01-01 20:00:00.000000,2019-01-01,20,2,375,,377,
2019-01-01 21:00:00.000000,2019-01-01,21,2,350,,352,
2019-01-01 22:00:00.000000,2019-01-01,22,2,293,,295,
2019-01-01 23:00:00.000000,2019-01-01,23,2,234,,236,
2019-01-02 00:00:00.000000,2019-01-02,0,,,,,
2019-01-02 01:00:00.000000,2019-01-02,1,,,,,
2019-01-02 02:00:00.000000,2019-01-02,2,,,,,
2019-01-02 03:00:00.000000,2019-01-02,3,,,,,
2019-01-02 04:00:00.000000,2019-01-02,4,,,,,
2019-01-02 05:00:00.000000,2019-01-02,5,,,,,
2019-01-02 06:00:00.000000,2019-01-02,6,,,,,
2019-01-02 07:00:00.000000,2019-01-02,7,,,,,
2019-01-02 08:00:00.000000,2019-01-02,8,,,,,
2019-01-02 09:00:00.000000,2019-01-02,9,,,,,
2019-01-02 10:00:00.000000,2019-01-02,10,,,,,
2019-01-02 11:00:00.000000,2019-01-02,11,,,,,
2019-01-02 12:00:00.000000,2019-01-02,12,,,,,
2019-01-02 13:00:00.000000,2019-01-02,13,,,,,
2019-01-02 14:00:00.000000,2019-01-02,14,,,,,
2019-01-02 15:00:00.000000,2019-01-02,15,,,,,
2019-01-02 16:00:00.000000,2019-01-02,16,,,,,
2019-01-02 17:00:00.000000,2019-01-02,17,,,,,
2019-01-02 18:00:00.000000,2019-01-02,18,,,,,
2019-01-02 19:00:00.000000,2019-01-02,19,,,,,
2019-01-02 20:00:00.000000,2019-01-02,20,,,,,
2019-01-02 21:00:00.000000,2019-01-02,21,,,,,
2019-01-02 22:00:00.000000,2019-01-02,22,,,,,
2019-01-02 23:00:00.000000,2019-01-02,23,,,,,
2019-01-03 00:00:00.000000,2019-01-03,0,0,594,,594,
2019-01-03 01:00:00.000000,2019-01-03,1,0,672,,672,
2019-01-03 02:00:00.000000,2019-01-03,2,0,665,,665,
2019-01-03 03:00:00.000000,2019-01-03,3,0,549,,549,
2019-01-03 04:00:00.000000,2019-01-03,4,0,549,,549,
2019-01-03 05:00:00.000000,2019-01-03,5,0,368,,368,
2019-01-03 06:00:00.000000,2019-01-03,6,0,510,,510,
2019-01-03 07:00:00.000000,2019-01-03,7,43,477,,520,
2019-01-03 08:00:00.000000,2019-01-03,8,3051,462,,3513,
2019-01-03 09:00:00.000000,2019-01-03,9,7158,400,,7558,
2019-01-03 10:00:00.000000,2019-01-03,10,8174,348,,8522,
2019-01-03 11:00:00.000000,2019-01-03,11,8147,372,,8519,
2019-01-03 12:00:00.000000,2019-01-03,12,8084,395,,8479,
2019-01-03 13:00:00.000000,2019-01-03,13,8157,398,,8555,
2019-01-03 14:00:00.000000,2019-01-03,14,8103,370,,8473,
2019-01-03 15:00:00.000000,2019-01-03,15,6963,342,,7305,
2019-01-03 16:00:00.000000,2019-01-03,16,2758,330,,3088,
2019-01-03 17:00:00.000000,2019-01-03,17,238,270,,508,
2019-01-03 18:00:00.000000,2019-01-03,18,153,337,,490,
2019-01-03 19:00:00.000000,2019-01-03,19,153,356,,509,
2019-01-03 20:00:00.000000,2019-01-03,20,153,384,,537,
2019-01-03 21:00:00.000000,2019-01-03,21,153,381,,534,
2019-01-03 22:00:00.000000,2019-01-03,22,153,383,,536,
2019-01-03 23:00:00.000000,2019-01-03,23,153,364,,517,
2019-01-04 00:00:00.000000,2019-01-04,0,0,351,,351,
2019-01-04 01:00:00.000000,2019-01-04,1,0,341,,341,
2019-01-04 02:00:00.000000,2019-01-04,2,0,380,,380,
2019-01-04 03:00:00.000000,2019-01-04,3,0,422,,422,
2019-01-04 04:00:00.000000,2019-01-04,4,0,403,,403,
2019-01-04 05:00:00.000000,2019-01-04,5,0,358,,358,
2019-01-04 06:00:00.000000,2019-01-04,6,0,325,,325,
2019-01-04 07:00:00.000000,2019-01-04,7,37,247,,284,
2019-01-04 08:00:00.000000,2019-01-04,8,3202,249,,3451,
2019-01-04 09:00:00.000000,2019-01-04,9,7224,210,,7434,
2019-01-04 10:00:00.000000,2019-01-04,10,8163,220,,8383,
2019-01-04 11:00:00.000000,2019-01-04,11,8175,227,,8402,
2019-01-04 12:00:00.000000,2019-01-04,12,8081,218,,8299,
2019-01-04 13:00:00.000000,2019-01-04,13,8219,244,,8463,
2019-01-04 14:00:00.000000,2019-01-04,14,8176,66,,8242,
2019-01-04 15:00:00.000000,2019-01-04,15,7042,75,,7117,
2019-01-04 16:00:00.000000,2019-01-04,16,2882,190,,3072,
2019-01-04 17:00:00.000000,2019-01-04,17,33,235,,268,
2019-01-04 18:00:00.000000,2019-01-04,18,1,263,,264,
2019-01-04 19:00:00.000000,2019-01-04,19,1,246,,247,
2019-01-04 20:00:00.000000,2019-01-04,20,1,333,,334,
2019-01-04 21:00:00.000000,2019-01-04,21,1,454,,455,
2019-01-04 22:00:00.000000,2019-01-04,22,1,482,,483,
2019-01-04 23:00:00.000000,2019-01-04,23,1,568,,569,
2019-01-05 00:00:00.000000,2019-01-05,0,0,462,,462,
2019-01-05 01:00:00.000000,2019-01-05,1,0,431,,431,
2019-01-05 02:00:00.000000,2019-01-05,2,0,323,,323,
2019-01-05 03:00:00.000000,2019-01-05,3,0,350,,350,
2019-01-05 04:00:00.000000,2019-01-05,4,0,342,,342,
2019-01-05 05:00:00.000000,2019-01-05,5,0,426,,426,
2019-01-05 06:00:00.000000,2019-01-05,6,0,532,,532,
2019-01-05 07:00:00.000000,2019-01-05,7,0,721,,721,
2019-01-05 08:00:00.000000,2019-01-05,8,571,730,,1301,
2019-01-05 09:00:00.000000,2019-01-05,9,1250,875,,2125,
2019-01-05 10:00:00.000000,2019-01-05,10,1966,1283,,3249,
2019-01-05 11:00:00.000000,2019-01-05,11,2384,1063,,3447,
2019-01-05 12:00:00.000000,2019-01-05,12,2459,1156,,3615,
2019-01-05 13:00:00.000000,2019-01-05,13,1796,1514,,3310,
2019-01-05 14:00:00.000000,2019-01-05,14,1239,1606,,2845,
2019-01-05 15:00:00.000000,2019-01-05,15,605,1895,,2500,
2019-01-05 16:00:00.000000,2019-01-05,16,181,1446,,1627,
2019-01-05 17:00:00.000000,2019-01-05,17,4,1531,,1535,
2019-01-05 18:00:00.000000,2019-01-05,18,4,1398,,1402,
2019-01-05 19:00:00.000000,2019-01-05,19,4,1061,,1065,
