 i0 tic0  idx2 ord1  per2  cnt2  mse2  mae2  mape2 mse3  rmse3 mae3  mape3 
0 caiso_load 0_0  (1, 0, 0)   24   4   40431896.099999994   9812.9   0.437 8086379.219999999   2405.2803951609553 1962.58   0.0874 
1 caiso_load 0_1  (1, 0, 0)   72   4   24997893.599999998   9078.3   0.404 4999578.72   2022.147494906175 1815.6599999999999   0.08080000000000001 
2 caiso_load 0_2  (1, 0, 0)   120   4   20773568.8   8432.7   0.376 4154713.7600000002   1992.908401801599 1686.5400000000002   0.0752 
3 caiso_load 0_3  (1, 0, 0)   168   4   1470338.3000000003   2059.9   0.091 294067.66000000003   469.19971669412496 411.98   0.0182 
4 caiso_load 0_4  (1, 0, 0)   216   4   33055786.3   10461.9   0.46699999999999997 6611157.26   2424.010911807929 2092.38   0.0934 
5 caiso_load 1_0  (0, 1, 0)   24   4   87984267.9   13454.0   0.597 17596853.580000002   3320.5621506319535 2690.8   0.11939999999999999 
6 caiso_load 1_1  (0, 1, 0)   72   4   58544757.4   13145.7   0.5820000000000001 11708951.48   2965.4023081460377 2629.1400000000003   0.11640000000000002 
7 caiso_load 1_2  (0, 1, 0)   120   4   41193490.6   11874.3   0.5269999999999999 8238698.12   2737.2945922657973 2374.8599999999997   0.10539999999999998 
8 caiso_load 1_3  (0, 1, 0)   168   4   6221753.2   3507.1000000000004   0.156 1244350.6400000001   813.8907857536336 701.4200000000001   0.0312 
9 caiso_load 1_4  (0, 1, 0)   216   4   50815052.00000001   12700.699999999999   0.5670000000000001 10163010.400000002   2970.690107932085 2540.14   0.11340000000000001 
10 caiso_load 2_0  (0, 0, 1)   24   4   6898444.0   4698.099999999999   0.21000000000000002 1379688.8   1172.3256898735247 939.6199999999999   0.042 
11 caiso_load 2_1  (0, 0, 1)   72   4   10073031.7   5643.2   0.25199999999999995 2014606.3399999999   1375.5725902039646 1128.6399999999999   0.050399999999999986 
12 caiso_load 2_2  (0, 0, 1)   120   4   11087287.399999999   5945.2   0.268 2217457.4799999995   1470.5602646977527 1189.04   0.0536 
13 caiso_load 2_3  (0, 0, 1)   168   4   692172.9   1479.2   0.065 138434.58000000002   350.2263812956032 295.84000000000003   0.013000000000000001 
14 caiso_load 2_4  (0, 0, 1)   216   4   23112945.200000003   8839.199999999999   0.39499999999999996 4622589.040000001   2102.550432197425 1767.8399999999997   0.07899999999999999 
15 caiso_load 3_0  (1, 0, 1)   24   4   27521696.299999997   8283.3   0.369 5504339.26   2043.6528753485557 1656.6599999999999   0.0738 
16 caiso_load 3_1  (1, 0, 1)   72   4   20673872.7   8364.5   0.373 4134774.54   1869.819639463658 1672.9   0.0746 
17 caiso_load 3_2  (1, 0, 1)   120   4   18006765.3   7813.6   0.35000000000000003 3601353.06   1860.8391567373087 1562.72   0.07 
18 caiso_load 3_3  (1, 0, 1)   168   4   1149831.5999999999   1880.1000000000001   0.08299999999999999 229966.31999999998   429.8949610141306 376.02000000000004   0.016599999999999997 
19 caiso_load 3_4  (1, 0, 1)   216   4   30216397.4   10073.199999999999   0.449 6043279.4799999995   2335.4772430401817 2014.6399999999999   0.0898 
20 caiso_load 4_0  (1, 1, 0)   24   4   87635999.1   13246.899999999998   0.588 17527199.82   3278.4196933562584 2649.3799999999997   0.1176 
21 caiso_load 4_1  (1, 1, 0)   72   4   60441936.49999999   13745.2   0.612 12088387.299999999   3044.3751374961234 2749.04   0.1224 
22 caiso_load 4_2  (1, 1, 0)   120   4   33785409.0   10771.3   0.47900000000000004 6757081.8   2451.7540467307863 2154.2599999999998   0.09580000000000001 
23 caiso_load 4_3  (1, 1, 0)   168   4   7082997.999999999   3838.4   0.17200000000000001 1416599.5999999999   882.5357264825373 767.6800000000001   0.0344 
24 caiso_load 4_4  (1, 1, 0)   216   4   45710452.699999996   12364.0   0.5499999999999999 9142090.54   2801.8062365113733 2472.8   0.10999999999999999 
25 caiso_load 5_0  (0, 1, 1)   24   4   87337095.1   13211.0   0.587 17467419.02   3274.796127064468 2642.2   0.11739999999999999 
26 caiso_load 5_1  (0, 1, 1)   72   4   58954301.599999994   13357.599999999999   0.592 11790860.319999998   3010.4473342994775 2671.5199999999995   0.11839999999999999 
27 caiso_load 5_2  (0, 1, 1)   120   4   39541279.1   11651.0   0.518 7908255.82   2684.8108554851624 2330.2   0.1036 
28 caiso_load 5_3  (0, 1, 1)   168   4   6383158.1   3633.0   0.16200000000000003 1276631.6199999999   840.6877947940205 726.6   0.032400000000000005 
29 caiso_load 5_4  (0, 1, 1)   216   4   49664563.0   12650.4   0.563 9932912.6   2940.3945038722663 2530.08   0.11259999999999999 
30 caiso_load 6_0  (1, 1, 1)   24   4   86375039.70000002   13028.300000000001   0.578 17275007.940000005   3234.720088222485 2605.6600000000003   0.1156 
31 caiso_load 6_1  (1, 1, 1)   72   4   59754381.1   13740.100000000002   0.61 11950876.22   3092.219913987678 2748.0200000000004   0.122 
32 caiso_load 6_2  (1, 1, 1)   120   4   35968886.3   11140.8   0.495 7193777.26   2565.9825839146024 2228.16   0.099 
33 caiso_load 6_3  (1, 1, 1)   168   4   6546997.4   3743.8999999999996   0.16700000000000004 1309399.48   865.7369974878762 748.78   0.033400000000000006 
34 caiso_load 6_4  (1, 1, 1)   216   4   48017339.10000001   12640.9   0.563 9603467.820000002   2897.9349852626665 2528.18   0.11259999999999999 
35 caiso_load 7_0  (2, 1, 1)   24   4   85695434.4   12965.699999999999   0.5760000000000001 17139086.880000003   3221.065367315601 2593.14   0.11520000000000001 
36 caiso_load 7_1  (2, 1, 1)   72   4   58367777.5   13414.599999999999   0.595 11673555.5   3046.5036159777924 2682.9199999999996   0.119 
37 caiso_load 7_2  (2, 1, 1)   120   4   38000831.099999994   11418.3   0.507 7600166.219999999   2636.0572310080656 2283.66   0.1014 
38 caiso_load 7_3  (2, 1, 1)   168   4   6709780.3   3771.5   0.16799999999999998 1341956.06   870.5213545641698 754.3   0.0336 
39 caiso_load 7_4  (2, 1, 1)   216   4   50336795.50000001   12798.8   0.571 10067359.100000001   2982.1759602531483 2559.7599999999998   0.1142 
40 caiso_load 8_0  (1, 1, 2)   24   4   86465388.3   13034.1   0.579 17293077.66   3236.286057986864 2606.82   0.11579999999999999 
